EventID,ActorID,Context,Acting/Face
300202,120,빨리 끝내고 돌아가야지.,기본/기본
300301,120,안녕하세요. 어린이 기자를 하고 있는 루시라고 합니다.,기본/웃음
300301,140,그래. 뭐. 무슨 일이려나?,(의자에 앉음) 기본/기본
300301,140,딱히 이 주변엔 취재라고 할 만한 요소가 없다만.,(의자에 앉음) 기본/고민
300301,120,혹시 이 주변에 있는 뒷골목에 대해 알고 계십니까?,메모하는 모습/웃음
300301,140,…그래. 알지. 이 길을 따라가다 보면 바로 나올게다.,(의자에 앉음) 기본/기본
300301,120,감사합니다!,기본/웃음
300302,120,혹시 저 뒷골목에 대해 더 자세히 아시는 게 없습니까?,메모하는 모습/웃음
300302,140,흠…,(의자에 앉음) 기본/기본
300302,140,한 때 사람도 많이 다녔었지만... 지금은 없지.,(의자에 앉음) 기본/기본
300302,120,아예 사람들의 왕래가 없다는 뜻이신가요?,메모하는 모습/웃음
300302,140,관리를 해주시던 분이 계셨지만…,(의자에 앉음) 기본/기본
300302,140,꽤 오래전부터 병원 신세를 지시더니 최근에 별세하셨다더군.,(의자에 앉음) 기본/고민
300302,140,애초에 병원에 입원하시기 전부터 사람은 줄어들기 시작했으니.,(의자에 앉음) 기본/기본
300302,140,이젠 올 만한 사람도 없겠지.,(의자에 앉음) 기본/눈감기
300303,120,그렇다면 혹시 최근 뒷골목에 대한 소식은 없습니까?,메모하는 모습/웃음
300303,140,그러고 보니 곧 재개발을 위해 시청 쪽에서 사람이 온다고 했었나…,(의자에 앉음) 기본/고민
300303,140,관리를 좀 안 한 지 좀 됐으니 아마 좋은 평가는 못 듣겠지.,(의자에 앉음) 기본/기본
300303,120,그렇다면 사실상 재개발은 확정인 건가요?,메모하는 모습/웃음
300303,140,아마 거의 그렇겠지.,(의자에 앉음) 기본/기본
300304,140,생각해보니 최근 뒷골목에 대해 묻는 사람들이 많군.,(의자에 앉음) 기본/고민
300304,120,대표적으로 어떤 사람들이 있었죠? 알려주실 수 있나요?,메모하는 모습/웃음
300304,140,문의 잠금을 열어둔 뒤 딱히 잠그지 않았으니…,(의자에 앉음) 기본/기본
300304,140,자연스레 들어가려는 사람도 몇 있었고…,(의자에 앉음) 기본/기본
300304,140,너와 같은 꼬마가 최근 놀러 온 적이 있었지.,(의자에 앉음) 기본/기본
300304,140,그 이후론 마주치지 못한 건지. 안 온 건진 모르겠지만.,(의자에 앉음) 기본/기본
300305,120,그럼 옛날에 예술의 거리라고 불린 건 사실인가요?,메모하는 모습/웃음
300305,140,그랬었지. 홍보도 하면서 엄청 많은 사람이 몰렸던 적이 있었지.,(의자에 앉음) 기본/기본
300305,140,나도 한때 여기서 연주했던 적이 있으니까.,(의자에 앉음) 기본/눈감기
300305,140,다만 시청의 위치가 바뀌면서 자연스레 사람들이 없어졌지만…,(의자에 앉음) 기본/기본
300306,140,이 정도면 됐으려나?,(의자에 앉음) 기본/기본
300306,120,네! 감사합니다!,기본/웃음
310201,120,오... 뭔가 분위기가 있는 그림…,사진찍는 모습/기본
310301,120,하지만 둘 다 너무 낡았네.,사진찍는 모습/기본
310401,120,이건 뭔가 이전과 다르네. 최근에 그려졌나?,사진찍는 모습/기본
310402,110,뭔가 데자뷔가….,무릎꿇고 앉음/당황
310402,100,사진… 찍히고 있어….,앉은 자세/두려움
310403,110,내가 막아볼게! 걱정마!,기본/기본
310404,110,야! 왜 허락도 없이 멋대로 사진을 찍는 거야?!,기대/화남
310405,120,여기 주민이십니까?,메모하는 모습/웃음
310405,120,방금 허락이라고 하셨는데 그렇다면 이 그림은 당신이 그리신 겁니까?,메모하는 모습/웃음
310405,120,벽에 낙서하신 이유는 무엇입니까?,메모하는 모습/웃음
310405,120,무언가 메시지나 반발하기 위해 그리신 겁니까?,메모하는 모습/웃음
310405,110,어? 아니? 그…그렇다면 너는 뭐하길래 사진을 그렇게 찍냐?,즐거움/당황
310406,120,하… 난 기자거든? 그리고 물어봤으면 대답 좀 하지?,화남/화남
310406,120,어쨌든 네가 저거 그린 거야?,화남/기본
310406,110,그래! 내가 그렸다! 왜! 그래서! 뭐!,즐거움/당황
310406,120,뻥치시네. 네가 그렸을 리가 없잖아?,화남/화남
310407,120,거기 더듬이씨! 당신이 그리신 건가요?,손 흔들기/웃음
310408,100,그…그렇긴 한데…요….,소심한 자세/두려움
310409,120,그러면 이곳의 주민이십니까?,메모하는 모습/웃음
310409,100,그건 아니고….,소심한 자세/눈감기
310409,120,방금 여기에서 낙서하려 했나요?,메모하는 모습/웃음
310409,100,낙서가 아니라 그래피티인데…,소심한 자세/기본
310409,120,그렇다면 어떠한 이유로 그리셨나요? 전부 스스로 그리신 겁니까?,메모하는 모습/웃음
310409,100,같이 그리긴 했는데…,소심한 자세/기본
310410,120,어휴. 답답하네. 분명 아무 생각 없이 낙서한 거겠지.,화남/기본
310410,120,무슨 생각으로 그린 건지 모르겠지만 지우는 게 좋을걸?,화남/기본
310410,100,그건….,소심한 자세/기본
310411,110,얘 엄청 잘 그리거든? 너도 그리는 거 보면 생각이 달라질걸?,즐거움/즐거움
310411,120,그럼 뭐해! 불법인데.,화남/화남
310412,120,그럼 한 번 그려봐.,기본/기본
310412,100,…,기본/기본
310412,120,어짜피 그리려고 했다며? 나야 기사에 쓸 사진도 늘어나는 거고.,메모하는 모습/기본
310412,120,그리고 그려지는 모습을 실제로 본 적은 없으니 궁금하기도 하고?,기본/웃음
310413,110,너 진짜…,기본/화남
310413,100,알았어.,기본/눈감기
310414,100,대신에….,기본/눈감기
310414,100,낙서라고 한 건 사과해줘.,기본/기본
310415,120,그리는 거 보고.,기본/웃음
310416,110,굳이 받아들일 필요는…,기본/기본
310416,100,나…,기본/기본
310416,100,해보고 싶어.,기본/기본
310416,110,…,기본/눈감기
310416,110,그래. 알았어.,기본/기본
310416,110,혹시 저 녀석이 방해하려고 하면 내가 못 하게 막을 테니까.,기대/즐거움
310417,100,그때처럼.,기본/기본
310417,100,…그때보다 더.,기본/기본
310418,110,어때! 대단하지? 재밌어 보이지?,즐거움/즐거움
310419,120,왜 네가 자랑스러워하는 거야?,화남/화남
310420,120,그래도 대단하네.,메모하는 모습/웃음
310420,120,낙서라고 말한 건 사과할게.,기본/웃음
310420,120,적어도 장난으로 그리고 있지 않다는 건 알겠어.,기본/웃음
310421,120,좋아 다 찍었고... 글도 어느 정도 적었고…,메모하는 모습/웃음
310422,120,아참. 너희 여기 재개발에 들어간다는 건 알고 있어?,기본/웃음
310422,100,…어?,기본/당황
